MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00721-7501,443-R1,465 WEST 23 STREET,CHELSEA,2,713,1920,616965,25912530,42,123000000,199
1-00738-7501,615-R1,85 8 AVENUE,CHELSEA,2,117,1973,110995,3670000,33.1,16800000,151
1-00745-7502,739-R1,360 WEST 22 STREET,CHELSEA,2,218,1963,196721,5600000,28.5,25600000,130
1-00745-7503,1044-R1,225 8 AVENUE,CHELSEA,2,70,1998,66668,2650000,39.7,12600000,189
1-00746-7503,206-R1,249 8 AVENUE,CHELSEA,2,221,1931,151785,4400000,29,20100000,132
1-00769-7503,502-R1,160 7 AVENUE,CHELSEA,2,197,1980,117094,3864102,33,17700000,151
1-00792-7503,467-R1,130 WEST 17 STREET,CHELSEA,2,14,1906,31650,855000,27,3920000,124
1-00792-7504,710-R1,101 7 AVENUE,CHELSEA,2,155,1930,138320,4300000,31.1,19700000,142
1-00693-7501,1134-R1,532 WEST 22 STREET,CHELSEA,1,12,1930,28207,990000,35.1,4740003,168
1-00694-7501,964-R1,525 WEST 22 STREET,CHELSEA,1,30,1930,72274,2250000,31.1,10800002,149
1-00695-7503,1466-R1,555 WEST 23 STREET,CHELSEA,1,336,2005,272102,11750000,43.2,58899994,216
1-00695-7504,1523-R1,231 10 AVENUE,CHELSEA,1,22,2004,49658,2300000,46.3,11499999,232
1-00695-7505,1752-R1,519 WEST 23 STREET,CHELSEA,1,11,2005,24000,1050000,43.8,5270000,220
1-00714-7501,1900-R1,450 WEST 17 STREET,CHELSEA,1,181,2006,173100,7443300,43,37299980,215
1-00714-7501,1900-R2,450 WEST 17 STREET,CHELSEA,1,288,2006,264402,11369286,43,54000442,204
1-00716-7501,1477-R1,444 WEST 19 STREET,CHELSEA,1,42,1900,49892,2195248,44,11000012,220
1-00716-7502,1566-R1,452 WEST 19 STREET,CHELSEA,1,20,1920,22920,916800,40,4600003,201
1-00716-7503,1871-R1,447 WEST 18 STREET,CHELSEA,1,43,2007,73263,3150309,43,16695367,228
1-00717-7501,572-R1,445 WEST 19 STREET,CHELSEA,1,71,1989,54355,2391620,44,11999985,221
1-00720-7501,228-R1,420 WEST 23 STREET,CHELSEA,1,39,1985,37431,1497240,40,7509994,201
1-00720-7502,368-R1,468 WEST 23 STREET,CHELSEA,1,11,1900,8408,395176,47,1980003,235
1-00722-7501,1819-R1,420 WEST 25 STREET,CHELSEA,1,79,1912,97500,3705000,38,18600000,191
1-00723-7501,1499-R1,263 9 AVENUE,CHELSEA,1,52,1914,96088,3651344,38,18299997,190
1-00738-7502,1326-R1,366 WEST 15 STREET,CHELSEA,1,22,1930,37402,1250000,33.4,5990005,160
1-00742-7501,142-R1,305 WEST 18 STREET,CHELSEA,1,60,1950,52698,1490000,28.3,7139994,135
1-00746-7502,124-R1,344 WEST 23 STREET,CHELSEA,1,44,1985,53937,2000000,37.1,10000002,185
1-00746-7504,309-R1,305 WEST 22 STREET,CHELSEA,1,26,1920,30908,1030000,33.3,4930000,160
1-00746-7505,875-R1,322 WEST 23 STREET,CHELSEA,1,11,1911,16083,590000,36.7,2960002,184
1-00746-7506,1441-R1,312 WEST 23 STREET,CHELSEA,1,77,1948,36000,1225000,34,5869998,163
1-00751-7501,1328-R1,360 WEST 28 STREET,CHELSEA,1,17,2002,15480,580000,37.5,2909999,188
1-00766-7501,276-R1,252 WEST 17 STREET,CHELSEA,1,16,1985,19718,769002,39,3859999,196
1-00766-7502,629-R1,124 8 AVENUE,CHELSEA,1,156,1989,141673,4958555,35,23800009,168
1-00766-7503,1176-R1,206 WEST 17 STREET,CHELSEA,1,11,1910,72256,2528960,35,12100001,167
1-00766-7504,1899-R1,246 WEST 17 STREET,CHELSEA,1,31,1926,68206,2387210,35,17489998,256
1-00767-7502,943-R1,257 WEST 17 STREET,CHELSEA,1,32,1907,83519,2505570,30,12000005,144
1-00767-7503,2000-R1,201 WEST 17 STREET,CHELSEA,1,37,2000,63723,2548920,40,12800002,201
1-00767-7504,1305-R1,224 WEST 18 STREET,CHELSEA,1,31,2002,52645,2105800,40,10600000,201
1-00768-7501,249-R1,210 WEST 19 STREET,CHELSEA,1,69,1939,51717,1551510,30,7430001,144
1-00768-7502,479-R1,140 7 AVENUE,CHELSEA,1,109,1962,99750,2992500,30,14300003,143
1-00768-7504,1442-R1,270 WEST 19 STREET,CHELSEA,1,14,2004,23052,991236,43,4969998,216
1-00769-7505,1239-R1,251 WEST 19 STREET,CHELSEA,1,43,1910,82151,2464530,30,11799999,144
1-00769-7506,1269-R1,217 WEST 19 STREET,CHELSEA,1,12,2002,33378,1335120,40,6700004,201
1-00773-7501,1427-R1,200 WEST 24 STREET,CHELSEA,1,20,2004,36967,1478680,40,7419999,201
1-00773-7502,1476-R1,213 WEST 23 STREET,CHELSEA,1,12,1900,44800,1836800,41,9210002,206
1-00774-7501,1140-R1,252 7 AVENUE,CHELSEA,1,351,1910,552679,22107160,40,110999986,201
1-00792-7501,157-R1,131 WEST 16 STREET,CHELSEA,1,48,1918,39792,1075000,27,5149997,129
1-00793-7501,69-R1,117 WEST 17 STREET,CHELSEA,1,35,1900,61572,1910000,31,9150000,149
1-00793-7505,1234-R1,151 WEST 17 STREET,CHELSEA,1,51,2001,111514,4250000,38.1,21300003,191
1-00793-7506,1314-R1,144 WEST 18 STREET,CHELSEA,1,18,1910,54708,1750000,32,8380000,153
1-00793-7507,1861-R1,100 WEST 18 STREET,CHELSEA,1,43,2006,67387,4400000,65,22100002,328
1-00793-7508,1921-R1,127 7 AVENUE,CHELSEA,1,38,2008,70840,3612840,51,18099999,256
1-00794-7501,1596-R1,130 WEST 19 STREET,CHELSEA,1,64,2005,118000,4960000,42,24900001,211
1-00794-7502,1638-R1,163 WEST 18 STREET,CHELSEA,1,26,2006,45457,2200000,48.4,10999998,242
1-00795-7501,1552-R1,121 WEST 19 STREET,CHELSEA,1,67,1903,120050,5040000,42,25300015,211
1-00796-7501,393-R1,179 7 AVENUE,CHELSEA,1,45,1987,31800,1150000,36.2,5770003,181
1-00796-7502,781-R1,121 WEST 20 STREET,CHELSEA,1,28,1875,41294,1240000,30,5939997,144
1-00796-7503,1116-R1,129 WEST 20 STREET,CHELSEA,1,15,1905,32085,1075000,33.5,5150001,161
1-00796-7504,1437-R1,655 6 AVENUE,CHELSEA,1,49,1900,84890,3820000,45,19199999,226
1-00797-7502,1122-R1,126 WEST 22 STREET,CHELSEA,1,22,1911,58449,1900000,32.5,9100001,156
1-00797-7505,1372-R1,146 WEST 22 STREET,CHELSEA,1,13,2003,37035,1200000,32.4,5749999,155
1-00798-7502,177-R1,215 7 AVENUE,CHELSEA,1,120,1973,80000,3750000,46.9,18799996,235
1-00798-7503,729-R1,140 WEST 23 STREET,CHELSEA,1,21,1950,28124,960000,34.1,4600001,164
1-00798-7505,1845-R1,125 WEST 22 STREET,CHELSEA,1,33,2006,66937,2877000,43,14430030,216
1-00799-7501,1770-R1,124 WEST 24 STREET,CHELSEA,1,20,1920,23621,830000,35.1,3980003,168
1-00800-7501,970-R1,245 7 AVENUE,CHELSEA,1,34,1911,81331,3350000,41.2,16800001,207
1-00800-7504,1851-R1,101 WEST 24 STREET,CHELSEA,1,203,2006,334205,17530000,52,87900247,263
1-00801-7502,1195-R1,150 WEST 26 STREET,CHELSEA,1,25,1922,48276,1740000,36,8730000,181
1-00802-7501,848-R1,144 WEST 27 STREET,CHELSEA,1,24,1911,70181,2700000,38.5,13500002,192
1-00803-7501,766-R1,315 7 AVENUE,CHELSEA,1,93,1926,94649,3900000,41.2,19600002,207
1-00764-7501,656-R1,217 WEST 14 STREET,CHELSEA,0,22,1930,16478,457264,27.7,2189996,133
