MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00690-7501,1924-R1,520 WEST 19 STREET,CHELSEA,1,25,2007,67671,2700073,39.9,15815004,233.7
1-00691-7501,2074-R1,100 11 AVENUE,CHELSEA,1,55,2007,137343,5500000,40.05,28938995,210.71
1-00693-7501,1134-R1,532 WEST 22 STREET,CHELSEA,1,12,1930,28207,1123485,39.83,6025999,213.63
1-00694-7501,0964-R1,525 WEST 22 STREET,CHELSEA,1,30,1930,72274,2878673,39.83,15438999,213.62
1-00695-7502,1019-R1,521 WEST 23 STREET,CHELSEA,1,6,1914,23702,944051,39.83,4740999,200.03
1-00695-7503,1466-R1,555 WEST 23 STREET,CHELSEA,1,336,2005,272102,11841879,43.52,64280006,236.23
1-00695-7504,1523-R1,231 10 AVENUE,CHELSEA,1,22,2004,49658,2219713,44.7,12247999,246.65
1-00695-7505,1752-R1,519 WEST 23 STREET,CHELSEA,1,11,2005,24000,1094640,45.61,6825003,284.38
1-00695-7506,2026-R1,200 11 AVENUE,CHELSEA,1,16,2007,60964,2203239,36.14,11817000,193.84
1-00696-7502,1982-R1,245 10 AVENUE,CHELSEA,1,18,2007,49238,1658828,33.69,8298001,168.53
1-00714-7501,1900-R1,450 WEST 17 STREET,CHELSEA,1,181,2006,173100,7784307,44.97,41672990,240.75
1-00716-7501,1477-R1,444 WEST 19 STREET,CHELSEA,1,42,1900,49892,2383341,47.77,15070997,302.07
1-00716-7502,1566-R1,452 WEST 19 STREET,CHELSEA,1,20,1920,22920,827979,36.12,4176999,182.24
1-00716-7503,1871-R1,447 WEST 18 STREET,CHELSEA,1,47,2007,83950,3542690,42.2,18637000,222
1-00716-7504,1939-R1,459 WEST 18 STREET,CHELSEA,1,10,2007,26615,1123153,42.2,5550003,208.53
1-00716-7505,2201-R1,456 WEST 19 STREET,CHELSEA,1,22,2008,50490,2549240,50.49,15008000,297.25
1-00717-7501,0572-R1,445 WEST 19 STREET,CHELSEA,1,71,1989,54355,2293781,42.2,12067006,222
1-00718-7501,2067-R1,177 9 AVENUE,CHELSEA,2,54,2008,113082,5337470,47.2,30696000,271.45
1-00720-7501,0228-R1,420 WEST 23 STREET,CHELSEA,1,39,1985,37431,1515207,40.48,7293015,194.84
1-00720-7502,0368-R1,468 WEST 23 STREET,CHELSEA,1,11,1900,8408,282593,33.61,1256998,149.5
1-00721-7501,0443-R1,465 WEST 23 STREET,CHELSEA,2,713,1920,616965,27720237,44.93,124062000,201.08
1-00722-7501,1819-R1,420 WEST 25 STREET,CHELSEA,1,79,1912,97500,4294875,44.05,20571999,210.99
1-00723-7501,1499-R1,263 9 AVENUE,CHELSEA,1,52,1914,96088,3950178,41.11,23590005,245.5
1-00738-7501,0615-R1,85 8 AVENUE,CHELSEA,2,117,1973,110995,4192281,37.77,21527000,193.95
1-00738-7502,1326-R1,366 WEST 15 STREET,CHELSEA,1,22,1905,37402,1489722,39.83,7990000,213.62
1-00745-7502,0739-R1,360 WEST 22 STREET,CHELSEA,2,218,1963,196721,6143597,31.23,35605000,180.99
1-00745-7503,1044-R1,225 8 AVENUE,CHELSEA,2,70,1998,66668,2610052,39.15,14657000,219.85
1-00746-7502,0124-R1,344 WEST 23 STREET,CHELSEA,1,44,1985,53937,2164492,40.13,12294001,227.93
1-00746-7503,0206-R1,249 8 AVENUE,CHELSEA,2,221,1931,151785,4480693,29.52,26540000,174.85
1-00746-7504,0309-R1,305 WEST 22 STREET,CHELSEA,1,26,1920,30908,1231066,39.83,6602999,213.63
1-00746-7505,0875-R1,322 WEST 23 STREET,CHELSEA,1,11,1911,16083,687066,42.72,4006999,249.14
1-00746-7506,1441-R1,312 WEST 23 STREET,CHELSEA,1,77,1948,36000,1433880,39.83,7689994,213.61
1-00746-7507,2146-R1,350 WEST 23 STREET,CHELSEA,1,14,1910,32450,1398920,43.11,7906999,243.67
