MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-00695-7504,1523-R1,231 10 AVENUE,CHELSEA,1,22,2004,49658,2310000,46.5,11300001,228,40.614211 -73.8999599
1-00695-7506,2026-R1,200 11 AVENUE,CHELSEA,1,16,2007,60964,900000,14.76,3040000,49.9,40.614211 -73.8999599
1-00696-7502,1982-R1,245 10 AVENUE,CHELSEA,1,18,2007,49238,1765000,35.8,8219999,167,40.614211 -73.8999599
1-00723-7501,1499-R1,263 9 AVENUE,CHELSEA,1,52,1914,96088,3747432,39,18400006,191,40.614211 -73.8999599
1-00766-7502,629-R1,124 8 AVENUE,CHELSEA,1,156,1989,141673,4958555,35,23099987,163,40.614211 -73.8999599
1-00768-7502,479-R1,140 7 AVENUE,CHELSEA,1,109,1962,99750,2992500,30,13900002,139,40.614211 -73.8999599
1-00774-7501,1140-R1,252 7 AVENUE,CHELSEA,1,351,1910,552679,21001802,38,97800013,177,40.614211 -73.8999599
1-00793-7508,1921-R1,127 7 AVENUE,CHELSEA,1,38,2008,70840,3800000,54,18700003,264,40.614211 -73.8999599
1-00796-7501,393-R1,179 7 AVENUE,CHELSEA,1,45,1987,31800,1180000,37.1,5499998,173,40.614211 -73.8999599
1-00796-7504,1437-R1,655 6 AVENUE,CHELSEA,1,49,1900,84890,3820000,45,18800004,221,40.614211 -73.8999599
1-00798-7502,177-R1,215 7 AVENUE,CHELSEA,1,120,1973,80000,3778800,47.2,18600016,233,40.614211 -73.8999599
1-00800-7501,970-R1,245 7 AVENUE,CHELSEA,1,33,1911,75929,3400000,44.8,16699998,220,40.614211 -73.8999599
1-00803-7501,766-R1,315 7 AVENUE,CHELSEA,1,93,1926,94649,4060000,42.9,19900004,210,40.614211 -73.8999599
1-00738-7501,615-R1,85 8 AVENUE,CHELSEA,2,117,1973,110995,4046800,36.5,18900000,170,40.614211 -73.8999599
1-00745-7503,1044-R1,225 8 AVENUE,CHELSEA,2,70,1998,66668,2732000,41,13400000,201,40.614211 -73.8999599
1-00746-7503,206-R1,249 8 AVENUE,CHELSEA,2,221,1931,151785,4650000,30.6,21700000,143,40.614211 -73.8999599
1-00769-7503,502-R1,160 7 AVENUE,CHELSEA,2,197,1980,117094,3864102,33,18000000,154,40.614211 -73.8999599
1-00792-7504,710-R1,101 7 AVENUE,CHELSEA,2,155,1930,138320,4300000,31.1,20000000,145,40.614211 -73.8999599
1-00393-7501,1138-R1,642 EAST 11 STREET,EAST VILLAGE,0,35,1999,36046,1108415,30.8,5159994,143,40.7264834 -73.9771352
1-00394-7502,1113-R1,613 EAST 11 STREET,EAST VILLAGE,0,12,2001,15957,482699,30.2,2250000,141,40.7264834 -73.9771352
1-00394-7503,1124-R1,625 EAST 11 STREET,EAST VILLAGE,0,12,2001,11495,387956,33.7,1810001,157,40.7264834 -73.9771352
1-00398-7501,394-R1,182 EAST 2 STREET,EAST VILLAGE,0,41,1987,35664,1025340,28.8,4249994,119,40.700914 -73.2819329
1-00405-7503,1104-R1,511 EAST 11 STREET,EAST VILLAGE,0,12,1999,14376,427686,29.8,1990002,138,40.7264834 -73.9771352
1-00406-7501,852-R1,212 AVENUE B,EAST VILLAGE,0,24,1900,15021,315440,21,1309999,87,40.7286953 -73.9788215585
1-00407-7501,338-R1,214 AVENUE A,EAST VILLAGE,0,18,1920,11033,220660,20,825000,75,40.729863 -73.9805063005
1-00375-7501,1213-R1,71 AVENUE D,EAST VILLAGE,1,25,2001,27798,705791,25.4,2920006,105,40.7223315 -73.9771405
