 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value
1-00751-7501,1328-R1,0,1,17,2002,15480,530000,34.2,2659999,172,221.8375055,682815.842,44.10955052,3434044.585
1-00764-7501,656-R1,0,0,22,1986,16478,560000,34,2819996,171,220.5477526,722586.6636,43.85159993,3634185.867
1-00721-7501,443-R1,0,2,713,1920,616965,19126000,31,92700001,150,193.4629409,24667705.09,39.98234112,119359863.3
1-00723-7501,1499-R1,0,1,52,1914,96088,3123000,32.5,15100000,157,202.4912115,4027717.863,41.91697052,19456975.53
1-00693-7501,1134-R1,0,1,12,1930,28207,959000,34,4820000,171,220.5477526,1236922.079,43.85159993,6220990.458
1-00746-7506,1441-R1,0,1,77,1948,36000,1150000,31.9,5570007,155,199.9117056,1481152.275,41.14311876,7196821.402
1-00746-7502,124-R1,0,1,44,1985,53937,1888000,35,9489993,176,226.9965173,2434789.15,45.14135287,12243511.15
1-00746-7503,206-R1,0,2,221,1931,151785,5313000,35,18888888,124,159.9293645,6851780.245,45.14135287,24274878.59
1-00716-7501,1477-R1,0,1,42,1900,49892,2000000,40.1,10099998,202,260.5300937,2580368.981,51.71909286,12998367.43
1-00746-7505,875-R1,0,1,11,1911,16083,579000,36,2444383,152,196.0424468,746751.4747,46.43110581,3152950.672
1-00746-7504,309-R1,0,1,26,1920,30908,958000,31,4640003,150,193.4629409,1235774.199,39.98234112,5979552.577
1-00742-7501,142-R1,0,1,60,1950,52698,1476000,28,5441123,103,132.8445527,1903087.211,36.1130823,7000642.238
1-00717-7501,572-R1,0,1,71,1989,54355,1900000,35,9550003,176,226.9965173,2453658.235,45.14135287,12338395.7
1-00720-7501,228-R1,0,1,39,1985,37431,1366000,36.5,6779991,181,233.445282,1762101.093,47.07598228,8738090.351
1-00695-7504,1523-R1,0,1,22,2004,49658,2135000,43,10700000,215,277.2968819,2754001.713,55.45937639,13770008.56
