 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value,,,,,
1-00690-7501,1924-R1,0,1,25,2007,67671,3200000,47.3,15700000,232,,,,,,,,,
1-00693-7501,1134-R1,0,1,12,1930,28207,1070000,37.9,4980001,177,,,,,,,,,
1-00694-7501,964-R1,0,1,30,1930,72274,2650000,36.7,12300000,170,,,,,,,,,
1-00695-7503,1466-R1,0,1,336,2005,272102,12500000,45.9,61400017,226,,,,,,Normalizing Growth Rate,2008,2009,2010
1-00695-7504,1523-R1,0,1,22,2004,49658,2310000,46.5,11300001,228,,,,,,0,128.97%,116.25%,120.10%
1-00695-7505,1752-R1,0,1,11,2005,24000,1060000,44.2,5200000,217,,,,,,1,130.89%,121.67%,122.42%
1-00695-7506,2026-R1,0,1,16,2007,60964,900000,14.76,3040000,49.9,,,,,,2,121.04%,115.16%,114.75%
1-00696-7502,1982-R1,0,1,18,2007,49238,1765000,35.8,8219999,167,,,,,,3,97.65%,92.23%,93.74%
1-00714-7501,1900-R1,0,1,181,2006,173100,7443000,43,36500023,211,,,,,,4,122.96%,114.09%,110.65%
1-00714-7501,1900-R2,0,1,288,2006,264402,4227000,15.99,14300000,54,,,,,,5,115.42%,110.32%,109.92%
1-00716-7501,1477-R1,0,1,42,1900,49892,2195248,44,10799994,216,,,,,,6,106.25%,105.78%,109.85%
1-00716-7502,1566-R1,0,1,20,1920,22920,733440,32,3420001,149,,,,,,7,113.80%,114.09%,106.70%
1-00716-7503,1871-R1,0,1,47,2007,83950,3693800,44,18100000,216,,,,,,8,126.51%,116.66%,112.81%
1-00717-7501,572-R1,0,1,71,1989,54355,2391620,44,11700012,215,,,,,,9,117.55%,111.01%,114.82%
1-00720-7501,228-R1,0,1,39,1985,37431,1422378,38,6629998,177,,,,,,,,,
1-00720-7502,368-R1,0,1,11,1900,8408,336320,40,1650003,196,,,,,,,,,
1-00721-7501,443-R1,0,2,713,1920,616965,23444670,38,109000000,177,,,,,,,,,
1-00722-7501,1819-R1,0,1,79,1912,97500,3802500,39,18700000,192,,,,,,,,,
1-00723-7501,1499-R1,0,1,52,1914,96088,3747432,39,18400006,191,,,,,,,,,
1-00738-7501,615-R1,0,2,117,1973,110995,4046800,36.5,18900000,170,,,,,,,,,
1-00738-7502,1326-R1,0,1,22,1905,37402,1385000,37,6449997,172,,,,,,,,,
1-00742-7501,142-R1,0,1,60,1950,52698,1650000,31.3,7690001,146,,,,,,,,,
1-00745-7502,739-R1,0,2,218,1963,196721,5950000,30.2,27700000,141,,,,,,,,,
1-00745-7503,1044-R1,0,2,70,1998,66668,2732000,41,13400000,201,,,,,,,,,
1-00746-7502,124-R1,0,1,44,1985,53937,2100000,38.9,10300003,191,,,,,,,,,
1-00746-7503,206-R1,0,2,221,1931,151785,4650000,30.6,21700000,143,,,,,,,,,
1-00746-7504,309-R1,0,1,26,1920,30908,1065000,34.5,4960002,160,,,,,,,,,
1-00746-7505,875-R1,0,1,11,1911,16083,690000,42.9,3389997,211,,,,,,,,,
1-00746-7506,1441-R1,0,1,77,1948,36000,1275000,35.4,5939995,165,,,,,,,,,
1-00751-7501,1328-R1,0,1,17,2002,15480,600000,38.8,2949998,191,,,,,,,,,
1-00764-7501,656-R1,0,0,22,1930,16478,527296,32,2460004,149,,,,,,,,,
1-00764-7502,794-R1,0,0,34,1930,19979,639328,32,2980000,149,,,,,,,,,
1-00766-7501,276-R1,0,1,16,1985,19718,769002,39,3780001,192,,,,,,,,,
1-00766-7502,629-R1,0,1,156,1989,141673,4958555,35,23099987,163,,,,,,,,,
1-00766-7503,1176-R1,0,1,11,1910,62304,2367552,38,11000001,177,,,,,,,,,
1-00766-7504,1899-R1,0,1,31,1926,68206,2660034,39,13100000,192,,,,,,,,,
1-00767-7502,943-R1,0,1,32,1907,83519,2255013,27,9340002,112,,,,,,,,,
1-00767-7503,2000-R1,0,1,37,2000,63723,2676366,42,13100001,206,,,,,,,,,
1-00767-7504,1305-R1,0,1,31,2002,52645,2211090,42,10900002,207,,,,,,,,,
1-00768-7501,249-R1,0,1,69,1939,51717,1551510,30,7229993,140,,,,,,,,,
1-00768-7502,479-R1,0,1,109,1962,99750,2992500,30,13900002,139,,,,,,,,,
