MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-00764-7501,656-R1,217 WEST 14 STREET,0,0,22,1930,16478,527296,32,2460004,149,40.7391325,-73.98142
1-00764-7502,794-R1,221 WEST 14 STREET,0,0,34,1930,19979,639328,32,2980000,149,40.7392105,-73.9829466
1-00792-7501,157-R1,131 WEST 16 STREET,0,1,48,1918,39792,1100000,27.6,4559997,115,40.7393205,-73.977041
1-00793-7501,69-R1,117 WEST 17 STREET,0,1,35,1900,61572,1970000,32,9180001,149,40.739826,-73.984701
1-00793-7507,1861-R1,100 WEST 18 STREET,0,1,43,2006,67387,3620000,54,17800003,264,40.7399548,-73.9858438
1-00793-7505,1234-R1,151 WEST 17 STREET,0,1,51,2001,111514,4250000,38.1,20900005,187,40.740332,-73.9824324
1-00766-7503,1176-R1,206 WEST 17 STREET,0,1,11,1910,62304,2367552,38,11000001,177,40.7403506,-73.98435
1-00793-7506,1314-R1,144 WEST 18 STREET,0,1,18,1910,54708,1750000,32,8150002,149,40.7404789,-73.984864
1-00767-7503,2000-R1,201 WEST 17 STREET,0,1,37,2000,63723,2676366,42,13100001,206,40.7406364,-73.9812628
1-00793-7508,1921-R1,127 7 AVENUE,0,1,38,2008,70840,3800000,54,18700003,264,40.7407315,-73.9794469
1-00794-7501,1596-R1,130 WEST 19 STREET,0,1,64,2005,118000,4960000,42,24300004,206,40.7408856,-73.9788271
1-00794-7502,1638-R1,163 WEST 18 STREET,0,1,26,2006,45457,2150000,47.3,10599998,233,40.741015,-73.979983
1-00796-7504,1437-R1,655 6 AVENUE,0,1,49,1900,84890,3820000,45,18800004,221,40.741056,-73.9777723
1-00766-7504,1899-R1,246 WEST 17 STREET,0,1,31,1926,68206,2660034,39,13100000,192,40.7411013,-73.9782499
1-00766-7502,629-R1,124 8 AVENUE,0,1,156,1989,141673,4958555,35,23099987,163,40.7411261,-73.9785936
1-00795-7501,1552-R1,121 WEST 19 STREET,0,1,67,1903,120050,5100000,42.5,24999995,208,40.7411492,-73.9811666
1-00766-7501,276-R1,252 WEST 17 STREET,0,1,16,1985,19718,769002,39,3780001,192,40.741234,-73.9804769
1-00738-7502,1326-R1,366 WEST 15 STREET,0,1,22,1905,37402,1385000,37,6449997,172,40.7413476,-73.9787799
1-00767-7504,1305-R1,224 WEST 18 STREET,0,1,31,2002,52645,2211090,42,10900002,207,40.741402,-73.980182
1-00795-7502,2031-R1,130 WEST 20 STREET,0,1,35,2008,40339,1165000,28.9,4829999,120,40.741447,-73.980498
1-00768-7502,479-R1,140 7 AVENUE,0,1,109,1962,99750,2992500,30,13900002,139,40.7414879,-74.0003263
1-00796-7502,781-R1,121 WEST 20 STREET,0,1,28,1875,41294,1300000,31.5,6059998,147,40.7415131,-74.00052
1-00767-7502,943-R1,257 WEST 17 STREET,0,1,32,1907,83519,2255013,27,9340002,112,40.7415249,-73.9973421
1-00796-7503,1116-R1,129 WEST 20 STREET,0,1,15,1905,32085,1100000,34.3,5119996,160,40.741801,-73.997193
1-00768-7501,249-R1,210 WEST 19 STREET,0,1,69,1939,51717,1551510,30,7229993,140,40.7418421,-73.9960433
1-00769-7506,1269-R1,217 WEST 19 STREET,0,1,12,2002,33378,1435254,43,7049998,211,40.7420861,-73.9956422
1-00797-7501,1839-R1,125 WEST 21 STREET,0,1,52,2006,77419,3500000,45.2,17199995,222,40.7422076,-73.9983447
1-00769-7508,1910-R1,241 WEST 19 STREET,0,1,19,2006,27784,1194712,43,5859999,211,40.7423656,-74.0024674
1-00768-7504,1442-R1,270 WEST 19 STREET,0,1,14,2004,23052,991236,43,4870001,211,40.7423822,-73.99757
1-00796-7501,393-R1,179 7 AVENUE,0,1,45,1987,31800,1180000,37.1,5499998,173,40.7424947,-73.9988287
1-00769-7505,1239-R1,251 WEST 19 STREET,0,1,43,1910,82151,2546681,31,11900001,145,40.7425069,-73.9970423
1-00797-7502,1122-R1,126 WEST 22 STREET,0,1,22,1911,58449,2160000,37,10099998,173,40.7425969,-73.9985341
1-00797-7507,1963-R1,140 WEST 22 STREET,0,1,52,1911,68395,2700000,39.5,13300002,194,40.742731,-73.9977581
1-00798-7505,1845-R1,125 WEST 22 STREET,0,1,33,2006,66937,2900000,43.3,14200000,212,40.742839,-73.9961714
1-00742-7501,142-R1,305 WEST 18 STREET,0,1,60,1950,52698,1650000,31.3,7690001,146,40.742842,-73.997221
1-00797-7505,1372-R1,146 WEST 22 STREET,0,1,13,2003,37035,1300000,35.1,6060001,164,40.742854,-73.9941616
1-00798-7506,1869-R1,133 WEST 22 STREET,0,1,99,2008,112888,4000000,35.4,18599997,165,40.7429739,-74.0000461
1-00798-7503,729-R1,140 WEST 23 STREET,0,1,21,1950,28124,900000,32,4190002,149,40.7433254,-74.0011779
1-00798-7502,177-R1,215 7 AVENUE,0,1,120,1973,80000,3778800,47.2,18600016,233,40.7435918,-73.995737
1-00714-7501,1900-R1,450 WEST 17 STREET,0,1,181,2006,173100,7443000,43,36500023,211,40.7436906,-74.000565
1-00714-7501,1900-R2,450 WEST 17 STREET,0,1,288,2006,264402,4227000,15.99,14300000,54,40.7436906,-74.004727
1-00800-7504,1851-R1,101 WEST 24 STREET,0,1,203,2006,334205,17530000,52,86099994,258,40.7437747,-73.999259
1-00799-7501,1770-R1,124 WEST 24 STREET,0,1,20,1920,23621,900000,38.1,4420005,187,40.74389,-73.995734
1-00716-7503,1871-R1,447 WEST 18 STREET,0,1,47,2007,83950,3693800,44,18100000,216,40.744482,-73.9978469
1-00773-7502,1476-R1,213 WEST 23 STREET,0,1,12,1900,44800,1747200,39,8580000,192,40.744553,-73.9949345
1-00716-7501,1477-R1,444 WEST 19 STREET,0,1,42,1900,49892,2195248,44,10799994,216,40.7446735,-74.0004692
1-00773-7501,1427-R1,200 WEST 24 STREET,0,1,20,2004,36967,1589581,43,7799997,211,40.7448118,-73.9954134
1-00716-7502,1566-R1,452 WEST 19 STREET,0,1,20,1920,22920,733440,32,3420001,149,40.744812,-73.9979469
1-00800-7501,970-R1,245 7 AVENUE,0,1,33,1911,75929,3400000,44.8,16699998,220,40.744829,-73.9973861
1-00746-7504,309-R1,305 WEST 22 STREET,0,1,26,1920,30908,1065000,34.5,4960002,160,40.7449994,-73.9981965
1-00717-7501,572-R1,445 WEST 19 STREET,0,1,71,1989,54355,2391620,44,11700012,215,40.745085,-73.9946995
