 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt
1-00751-7501,1328-R1,0,1,17,2002,15480,682815.842,44.10955052,3434044.585,221.8375055
1-00764-7501,656-R1,0,0,22,1986,16478,722586.6636,43.85159993,3634185.867,220.5477526
1-00721-7501,443-R1,0,2,713,1920,616965,24667705.09,39.98234112,119359863.3,193.4629409
1-00723-7501,1499-R1,0,1,52,1914,96088,4027717.863,41.91697052,19456975.53,202.4912115
1-00693-7501,1134-R1,0,1,12,1930,28207,1236922.079,43.85159993,6220990.458,220.5477526
1-00746-7506,1441-R1,0,1,77,1948,36000,1481152.275,41.14311876,7196821.402,199.9117056
1-00746-7502,124-R1,0,1,44,1985,53937,2434789.15,45.14135287,12243511.15,226.9965173
1-00746-7503,206-R1,0,2,221,1931,151785,6851780.245,45.14135287,24274878.59,159.9293645
1-00716-7501,1477-R1,0,1,42,1900,49892,2580368.981,51.71909286,12998367.43,260.5300937
1-00746-7505,875-R1,0,1,11,1911,16083,746751.4747,46.43110581,3152950.672,196.0424468
1-00746-7504,309-R1,0,1,26,1920,30908,1235774.199,39.98234112,5979552.577,193.4629409
1-00742-7501,142-R1,0,1,60,1950,52698,1903087.211,36.1130823,7000642.238,132.8445527
1-00717-7501,572-R1,0,1,71,1989,54355,2453658.235,45.14135287,12338395.7,226.9965173
1-00720-7501,228-R1,0,1,39,1985,37431,1762101.093,47.07598228,8738090.351,233.445282
1-00695-7504,1523-R1,0,1,22,2004,49658,2754001.713,55.45937639,13770008.56,277.2968819
1-00745-7502,739-R1,0,2,218,1963,196721,6723619.431,34.17845289,32730071.95,166.3781292
1-00694-7501,964-R1,0,1,30,1930,72274,2861719.04,39.59541523,13889124.98,192.1731879
1-00720-7502,368-R1,0,1,11,1900,8408,443529.5269,52.75089521,2233913.999,265.6891055
1-00745-7503,1044-R1,0,2,70,1998,66668,3172855.687,47.59188346,15993256.31,239.8940467
1-00695-7503,1466-R1,0,1,336,2005,272102,15090607.23,55.45937639,75803980.53,278.5866349
1-00738-7501,615-R1,0,2,117,1973,110995,4437839.953,39.98234112,21473419.13,193.4629409
1-00716-7502,1566-R1,0,1,20,1920,22920,839536.3011,36.62898347,4049875.82,176.6961527
1-00738-7502,1326-R1,0,1,22,1930,37402,1447180.183,38.69258818,6994704.218,187.0141762
1-00764-7502,794-R1,0,0,34,0,19979,876111.115,43.85159993,4406323.549,220.5477526
1-00766-7501,276-R1,0,1,16,1985,19718,839234.4989,42.56184699,4069015.753,206.3604703
1-00766-7502,629-R1,0,1,156,1989,141673,5847141.38,41.27209405,28322091.07,199.9117056
1-00766-7503,1176-R1,0,1,11,1910,62304,3029450.121,48.62368581,15187428.99,243.7633055
1-00767-7502,943-R1,0,1,32,1907,83519,3069987.959,36.75795877,14865204.85,177.9859056
1-00767-7503,2000-R1,0,1,37,2000,63723,2950510.663,46.30213052,14793646.78,232.1555291
1-00767-7504,1305-R1,0,1,31,0,52645,2512264.609,47.72085875,12629222.09,239.8940467
1-00768-7501,249-R1,0,1,69,1939,51717,1667553.819,32.24382348,7470641.109,144.4523292
1-00768-7502,479-R1,0,1,109,1962,99750,4001103.812,40.11131641,18654664.08,187.0141762
1-00768-7504,1442-R1,0,1,14,2004,23052,1230879.329,53.39577168,6184128.03,268.2686114
1-00769-7503,502-R1,0,2,197,1980,117094,4983736.911,42.56184699,24163572.91,206.3604703
1-00769-7505,1239-R1,0,1,43,1910,69856,2612812.459,37.40283524,12703674.36,181.8551644
1-00769-7506,1269-R1,0,1,12,2002,26711,1378023.63,51.59011757,6924568.743,259.2403408
1-00773-7501,1427-R1,0,1,20,2004,26484,1434628.307,54.16962345,7207299.354,272.1378702
1-00773-7502,1476-R1,0,1,12,1900,44800,2322793.454,51.84806816,11671748.2,260.5300937
1-00774-7501,1140-R1,0,1,351,1910,552679,22596373.86,40.88516817,109061362.8,197.3321997
1-00790-7502,1222-R1,0,2,213,2001,180281,8603164.136,47.72085875,43248338.63,239.8940467
1-00790-7502,1222-R2,0,2,62,2001,97866,4670249.562,47.72085875,23477470.77,239.8940467
1-00792-7501,157-R1,0,1,48,1918,39792,1231724.375,30.95407054,5491437.839,138.0035645
1-00792-7503,467-R1,0,2,14,1906,31650,980104.5394,30.96696807,4367812.816,138.0035645
1-00792-7504,710-R1,0,2,155,1930,138320,5673076.325,41.01414347,23013422.83,166.3781292
1-00793-7501,69-R1,0,1,35,1900,61572,2223554.703,36.1130823,10800122.84,175.4063997
1-00793-7505,1234-R1,0,1,51,2001,96570,4982057.654,51.59011757,25034839.71,259.2403408
1-00793-7506,1314-R1,0,1,18,1910,54708,2152074.016,39.33746465,10442850.96,190.883435
1-00794-7501,1596-R1,0,1,64,2005,118000,6087633.873,51.59011757,30590360.21,259.2403408
1-00794-7502,1638-R1,0,1,26,2006,45457,2837609.689,62.42404226,17178091.71,377.8976112
1-00795-7501,1552-R1,0,1,67,1903,120050,6193393.614,51.59011757,31121802.91,259.2403408
1-00796-7501,393-R1,0,1,45,1987,31800,1271438.448,39.98234112,6152121.521,193.4629409
1-00796-7502,781-R1,0,1,28,1875,41294,1384735.505,33.53357642,6710641.29,162.5088703
1-00796-7503,1116-R1,0,1,15,1905,32085,1241451.692,38.69258818,6041731.565,188.3039291
1-00796-7504,1437-R1,0,1,49,1900,84890,4707946.462,55.45937639,23758706.56,279.8763878
1-00797-7502,1122-R1,0,1,22,1911,51048,1981763.172,38.82156347,9612538.973,188.3039291
1-00797-7505,1372-R1,0,1,13,2003,27270,1301347.818,47.72085875,6541910.654,239.8940467
1-00798-7502,177-R1,0,1,120,1973,119125,5838389.118,49.01061169,29345587.41,246.3428114
1-00798-7503,729-R1,0,1,21,1950,28124,1269555.408,45.14135287,5078221.633,180.5654115
1-00800-7501,970-R1,0,1,34,1911,81331,4195875.852,51.59011757,21189173.05,260.5300937
1-00801-7502,1195-R1,0,1,25,1922,43448,2062168.434,47.46290816,10366879.36,238.6042938
1-00802-7501,848-R1,0,1,27,1911,70181,3258581.437,46.43110581,16383423.34,233.445282
1-00803-7501,766-R1,0,1,93,1926,94649,4638805.386,49.01061169,23316100.76,246.3428114
1-00375-7501,1213-R1,1,1,25,2001,27798,896563.0984,32.25279151,4002513.833,143.9856764
1-00384-7503,1720-R1,1,1,23,2005,34734,1363963.223,39.26882083,6592488.911,189.7993007
1-00385-7501,1618-R1,1,1,47,2005,36472,2296313.935,62.9610094,11553180.29,316.768488
1-00386-7501,548-R1,1,0,13,1920,18990,458117.5249,24.1241456,1864287.269,98.17205208
1-00389-7501,545-R1,1,2,30,1901,20940,602189.7237,28.75786646,2686144.421,128.2781481
1-00390-7501,1183-R1,1,1,16,2000,15704,692734.4617,44.1119754,3371170.674,214.6695539
1-00390-7502,1125-R1,1,2,78,2001,65832,3257282.717,49.47871425,16372585.08,248.7025319
1-00392-7501,341-R1,1,1,83,1928,78982,2316842.915,29.33380916,10338433.35,130.8960694
1-00393-7501,1138-R1,1,0,35,1999,36046,1571187.146,43.58839112,7596430.348,210.7426718
1-00394-7502,1113-R1,1,0,12,2001,14376,613454.3776,42.67211864,2973183.793,206.8157897
1-00394-7503,1124-R1,1,0,12,2001,11495,510076.4579,44.37376754,2572952.044,223.8322787
1-00397-7501,489-R1,1,1,21,1920,20038,615331.2701,30.70821789,2754040.211,137.4408729
1-00397-7502,628-R1,1,1,16,1920,19854,569399.3942,28.67932881,2546834.352,128.2781481
1-00398-7501,394-R1,1,0,41,1987,35664,1349132.175,37.82896407,6535588.388,183.2544972
1-00399-7501,602-R1,1,2,17,1920,21314,608760.2874,28.56152235,2734120.449,128.2781481
1-00405-7503,1104-R1,1,0,12,1999,14376,634153.7584,44.1119754,3067271.888,213.3605932
1-00405-7504,1447-R1,1,1,26,1965,29906,1354443.937,45.29004003,6811365.463,227.7591608
1-00406-7501,852-R1,1,0,24,1900,15021,346835.8911,23.09006665,1415656.699,94.24517
1-00407-7501,338-R1,1,0,18,1984,9701,261837.4551,26.99076952,1168236.948,120.4243839
1-00407-7502,1081-R1,1,0,18,1999,19119,725754.566,37.95986014,3528668.752,184.5634579
1-00432-7501,714-R1,1,1,32,1991,23605,1007275.36,42.67211864,4881886.716,206.8157897
1-00432-7502,840-R1,1,2,26,1900,21586,523569.3295,24.25504167,3842710.674,178.0186544
1-00434-7501,642-R1,1,1,20,1920,11229,314103.0907,27.97249004,1396340.366,124.351266
1-00438-7502,1207-R1,1,1,13,2001,15742,694410.7167,44.1119754,3358722.458,213.3605932
1-00440-7502,1264-R1,1,1,27,1900,30462,1164307.972,38.22165228,5622172.055,184.5634579
1-00440-7503,1503-R1,1,0,13,1900,20099,471190.6259,23.44348604,1920542.473,95.55413069
1-00441-7501,292-R1,1,1,40,1911,25528,928941.1312,36.3891073,4511045.061,176.7096937
1-00441-7503,1766-R1,1,1,96,2007,93382,5366044.836,57.46337448,27013574.24,289.2803135
1-00444-7501,271-R1,1,1,20,1900,17225,581708.6775,33.77118592,2818355.995,163.6200868
1-00446-7501,695-R1,1,2,28,2004,17793,607877.8122,34.16387412,2934582.542,164.9290475
1-00446-7502,705-R1,1,2,66,1920,67764,1805940.399,26.65043974,8071737.538,119.1154232
1-00447-7501,777-R1,1,2,20,1900,11574,333752.5411,28.8364041,1484691.286,128.2781481
